# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.0
#@/tick	2403
#@/user_id	a5e57e08-b0e6-49e9-9b39-b4d5e009ac8f
a 	啊	c=2 d=1.00515 t=1808
ke 	課	c=0 d=0.1 t=504
ke ai 	可愛	c=2 d=1.97531 t=1964
ke ban 	刻板	c=1 d=1 t=2158
ke da 	科大	c=3 d=1.23811 t=1765
ke huan 	可換	c=1 d=1 t=527
ke ji da xue 	科技大學	c=1 d=1 t=1471
ke long 	科隆	c=1 d=1 t=1372
ke neng 	可能	c=6 d=4.13125 t=1255
ke qi 	客氣	c=0 d=0.1 t=2356
ke xi 	可惜	c=1 d=1 t=555
ke yan gong zuo 	科研工作	c=1 d=1 t=2252
ke yi 	可以	c=6 d=1.6333 t=2296
ke yi a 	可以啊	c=1 d=1 t=774
ke yi de hua 	可以的話	c=1 d=1 t=1782
ke yi qu 	可以去	c=1 d=1 t=750
ken ding 	肯定	c=4 d=1.41228 t=2011
kong ju 	恐懼	c=3 d=2.76989 t=2177
kua wen hua 	跨文化	c=2 d=1.99501 t=2321
kuai 	快	c=2 d=1.83527 t=705
lai 	來	c=2 d=1.00186 t=1997
lai zi 	來自	c=1 d=1 t=183
lai zi yu 	來自於	c=2 d=1.82696 t=371
lang du 	朗讀	c=1 d=1.09704 t=574
lang du bu fen 	朗讀部分	c=1 d=1 t=569
lao ling hua 	老齡化	c=1 d=1 t=55
lao pai 	老牌	c=0 d=0.1 t=2289
lao pai xue xiao 	老牌學校	c=1 d=1 t=2290
lao shi 	老師	c=2 d=0.615015 t=1826
le 	了	c=25 d=3.32154 t=2388
le 	樂	c=1 d=1 t=2403
le guan 	樂觀	c=1 d=1 t=858
lei 	類	c=2 d=1.86071 t=757
li 	裏	c=1 d=1 t=819
li gong 	理工	c=2 d=2.00676 t=1234
li gong da xue 	理工大學	c=0 d=0.1 t=1492
li lun 	理論	c=2 d=1.83946 t=364
li shen 	立身	c=1 d=1 t=2192
li yi 	利益	c=1 d=1 t=351
li zi 	粒子	c=1 d=1 t=1737
lian xi 	聯繫	c=4 d=1.0679 t=2305
lian yan 	瀲灩	c=1 d=1 t=1352
liang 	兩	c=0 d=0.1 t=521
liang qian 	兩千	c=1 d=1 t=1206
liang wan 	兩萬	c=1 d=1.08511 t=1121
liang wan wu 	兩萬五	c=2 d=1.06361 t=1673
liang zhi lao hu 	兩紙老虎	c=2 d=1.9802 t=526
liang zhou 	兩週	c=2 d=1.956 t=2386
liang zi 	量子	c=5 d=0.232579 t=2086
liang zi li xue 	量子力學	c=1 d=1 t=1448
liang zi xin xi 	量子信息	c=1 d=1 t=1492
liang zi xin xi ke xue 	量子信息科學	c=1 d=1 t=2078
liang zi zu 	量子組	c=1 d=1 t=2087
liao 	聊	c=5 d=1.10049 t=2335
liao jie 	瞭解	c=1 d=1 t=948
liao liao 	聊聊	c=1 d=1 t=1828
liao zhai 	聊齋	c=1 d=1 t=1317
lie biao 	列表	c=1 d=1 t=991
ling 	另	c=1 d=1 t=1283
ling chen 	凌晨	c=1 d=1 t=2061
ling dao 	領導	c=2 d=1.00517 t=2223
ling yi fang mian 	另一方面	c=1 d=1 t=98
liu cheng 	流程	c=1 d=1 t=2221
liu qi 	六七	c=0 d=0.1 t=2061
liu qi dian 	六七點	c=1 d=1 t=2062
liu xia 	留下	c=2 d=1.32628 t=1639
liu xia lai 	留下來	c=2 d=1.16613 t=2023
lu qu 	錄取	c=0 d=0.1 t=1484
lu qu zhuang tai 	錄取狀態	c=1 d=1 t=1485
luo cha 	落差	c=1 d=1 t=1379
lv 	率	c=0 d=0.1 t=82
lv 	綠	c=5 d=4.95037 t=12
ma 	嗎	c=4 d=1.1137 t=1443
ma 	嘛	c=9 d=1.54691 t=2328
ma 	馬	c=1 d=1 t=917
ma an shan 	馬鞍山	c=2 d=1.88692 t=919
ma fan ni 	麻煩你	c=1 d=1 t=711
man man 	慢慢	c=1 d=1 t=525
mang 	忙	c=0 d=0.1 t=1583
me 	麼	c=1 d=1 t=1328
mei 	每	c=1 d=1 t=1099
mei 	沒	c=3 d=1.46254 t=2055
mei bi yao 	沒必要	c=1 d=1 t=1611
mei guo 	美國	c=2 d=1.00361 t=1967
mei ping 	每平	c=2 d=1.40657 t=1301
mei you 	沒有	c=7 d=2.87705 t=2145
mei yue 	每月	c=4 d=2.64707 t=1307
men 	們	c=1 d=1 t=610
men 	門	c=1 d=1 t=2402
mi bu 	彌補	c=2 d=1.93239 t=233
mian shang 	面上	c=1 d=1 t=1198
miao shu 	描述	c=0 d=0.1 t=867
miao shu xia 	描述下	c=1 d=1 t=868
min zu zhu yi 	民族主義	c=1 d=1 t=1937
ming 	名	c=0 d=0.1 t=1499
ming bai 	明白	c=1 d=1 t=1564
ming ling 	命令	c=1 d=1 t=420
ming nian 	明年	c=2 d=1.74082 t=1878
ming que 	明確	c=0 d=0.1 t=2177
ming tian 	明天	c=2 d=1.13068 t=2391
ming tian jian 	明天見	c=1 d=1 t=2017
mo ni 	模擬	c=1 d=1 t=779
mo qing 	摸清	c=1 d=1 t=1839
mo wen wei 	莫文蔚	c=1 d=1 t=524
mu 	幕	c=0 d=0.1 t=379
mu qian 	目前	c=1 d=1 t=1668
na 	吶	c=3 d=1.00466 t=2018
na 	哪	c=1 d=1 t=726
na 	那	c=5 d=2.642 t=2025
na ban 	那班	c=1 d=1 t=2063
na dao 	拿到	c=1 d=1 t=566
na ge 	哪個	c=1 d=1 t=1888
na ge 	那個	c=1 d=1 t=556
na jiu 	那就	c=1 d=1 t=710
na me 	那麼	c=1 d=1 t=1358
na pian 	那篇	c=1 d=1 t=1434
na shi 	那是	c=1 d=1 t=1851
na xie 	哪些	c=3 d=1.01236 t=1686
na yang 	那樣	c=2 d=1.02352 t=1615
nai cha 	奶茶	c=1 d=1 t=1373
nan 	難	c=1 d=1 t=1729
nan fang 	南方	c=1 d=1 t=1682
nan jing 	南京	c=2 d=1.27804 t=1306
nan kai 	南開	c=2 d=1.81058 t=1697
nan kai da xue 	南開大學	c=2 d=1.99501 t=1703
nan shan 	南山	c=0 d=0.1 t=1933
ne 	呢	c=17 d=2.37571 t=2397
nei 	內	c=1 d=1 t=297
nei hao 	內耗	c=1 d=1 t=2152
nei wai 	內外	c=1 d=1 t=2133
nei zai 	內在	c=1 d=1 t=2201
neng 	能	c=9 d=1.13732 t=2172
neng bu neng 	能不能	c=1 d=1 t=2029
neng fou 	能否	c=2 d=1.42316 t=2285
neng gou 	能夠	c=2 d=1.00937 t=1160
neng li 	能力	c=1 d=1.00001 t=2199
neng you 	能有	c=1 d=1 t=1155
ni 	你	c=12 d=0.514965 t=2324
ni de 	你的	c=1 d=1 t=13
ni hai 	你還	c=1 d=1 t=1742
ni ji dian 	你幾點	c=1 d=1 t=2034
ni men 	你們	c=1 d=1.08187 t=1813
ni men zu 	你們組	c=2 d=1.67368 t=1853
ni qu 	你去	c=1 d=1 t=815
ni ren shi 	你認識	c=1 d=1 t=2325
ni shi 	你是	c=2 d=1.5886 t=1983
nian 	年	c=1 d=1 t=1195
nian ji 	年紀	c=1 d=1 t=2362
nian ji 	年級	c=1 d=1 t=2363
nin 	您	c=1 d=1 t=1435
nin hao 	您好	c=1 d=1 t=1446
nong 	弄	c=0 d=0.1 t=1544
nong bu ming bai 	弄不明白	c=2 d=1.94176 t=1557
nu li 	努力	c=1 d=1 t=2129
nv 	女	c=1 d=1 t=2217
nv sheng 	女生	c=1 d=0.154204 t=1953
ou 	偶	c=1 d=1 t=1806
ou mei 	歐美	c=1 d=1 t=121
ou yuan 	歐元	c=2 d=0.497827 t=2035
pa 	怕	c=1 d=1 t=708
pai 	派	c=1 d=1 t=824
pai ji 	排擠	c=1 d=1 t=1258
pai ming 	排名	c=2 d=1.02399 t=1647
pan 	潘	c=1 d=1 t=1751
pan bie 	判別	c=1 d=1 t=1401
pan xiao 	潘校	c=1 d=1 t=1895
pao fen 	跑分	c=1 d=1 t=532
pao qi 	拋棄	c=1 d=1 t=2121
pei chang 	賠償	c=2 d=1.96079 t=1716
pei yang 	培養	c=1 d=1 t=1596
peng cheng 	鵬城	c=1 d=1 t=2084
peng dao 	碰到	c=1 d=1 t=2353
pi pan 	批判	c=1 d=1 t=366
pi pei 	匹配	c=1 d=1 t=2111
pi zhun 	批准	c=0 d=0.1 t=2264
piao liang 	漂亮	c=1 d=1 t=1365
pin bo 	拼搏	c=1 d=1 t=1538
ping 	平	c=3 d=2.82789 t=1117
ping ce 	評測	c=1 d=1 t=529
ping deng 	平等	c=3 d=2.4282 t=516
ping huan 	平緩	c=1 d=1 t=143
ping ju 	萍聚	c=1 d=1 t=4
ping shen 	評審	c=2 d=1.57984 t=1253
ping tai 	平臺	c=1 d=1 t=793
ping xuan 	評選	c=1 d=1 t=1457
po jie 	破解	c=1 d=1 t=2161
qi ba 	七八	c=0 d=0.1 t=2255
qi ba yue fen 	七八月份	c=1 d=1 t=2256
qi ji 	契機	c=1 d=1 t=2300
qi shi 	歧視	c=1 d=1 t=18
qi ta 	其他	c=1 d=1 t=787
qi ye 	企業	c=1 d=1 t=272
qi yue 	七月	c=1 d=1 t=1819
qian 	前	c=1 d=1 t=1215
qian he tong 	簽合同	c=1 d=1 t=2262
qian yan 	前沿	c=1 d=1 t=767
qian zai 	潛在	c=1 d=1.08065 t=2117
qian zai kong ju 	潛在恐懼	c=1 d=1 t=2075
qiang hua 	強化	c=1 d=1 t=2153
qiang shi 	強勢	c=1 d=1 t=1179
qiao 	敲	c=1 d=1 t=2400
qie shi 	切實	c=4 d=3.57868 t=401
qin 	秦	c=1 d=1 t=1473
qing 	晴	c=1 d=1 t=1353
qing bo 	輕薄	c=1 d=1 t=596
qing dao 	青島	c=1 d=1 t=959
qing jiao 	請教	c=1 d=1 t=1830
qing kuang 	情況	c=3 d=1.57014 t=1840
qing kuang xia 	情況下	c=1 d=1 t=89
qing nian 	青年	c=1 d=1 t=1196
qing xing 	情形	c=0 d=0.1 t=2177
qing xing ming que 	情形明確	c=1 d=1 t=2178
qiu zhi 	求職	c=0 d=0.1 t=1420
qiu zhi jian yi 	求職建議	c=1 d=1 t=1421
qu 	去	c=10 d=1.6493 t=2399
quan bu 	全部	c=1 d=1.09501 t=1712
quan bu wei yue 	全部違約	c=1 d=1 t=1713
quan li 	權力	c=1 d=1 t=438
que dian 	缺點	c=2 d=1.79852 t=2279
que ding 	確定	c=1 d=1 t=2260
que fa 	缺乏	c=0 d=0.1 t=2246
que fa ci ji 	缺乏刺激	c=1 d=1 t=2247
que shi 	缺失	c=0 d=0.1 t=2173
ran hou 	然後	c=1 d=1 t=992
rang 	讓	c=1 d=1 t=2261
ren 	人	c=3 d=1.00827 t=2327
ren cai 	人才	c=2 d=0.491313 t=1493
ren cai yin jin 	人才引進	c=2 d=1.34994 t=1704
ren ke 	認可	c=0 d=0.1 t=2232
ren kou 	人口	c=8 d=5.05975 t=246
ren kou jiao lv 	人口焦慮	c=1 d=1 t=34
ren kou jie gou 	人口結構	c=1 d=1 t=40
ren men 	人們	c=1 d=1 t=342
ren sheng 	人生	c=0 d=0.1 t=1520
ren sheng da shi 	人生大事	c=1 d=1 t=1521
ren shi 	人事	c=1 d=1 t=1033
ren shi 	認識	c=0 d=0.1 t=2324
ren shi chu 	人事處	c=1 d=1 t=2267
ren wu 	任務	c=1 d=1 t=2342
ri chang 	日常	c=1 d=1 t=2312
rong yi 	容易	c=1 d=1 t=1167
ru 	如	c=5 d=4.20455 t=1314
ru guo 	如果	c=2 d=1.01364 t=1080
ru he 	如何	c=5 d=1.64134 t=2160
ru zhi 	入職	c=1 d=1 t=2257
rui shi 	瑞士	c=1 d=1 t=1902
ruo 	若	c=2 d=1.01162 t=1111
sa huang 	撒謊	c=1 d=1 t=321
san 	三	c=2 d=1.37158 t=1501
san nian 	三年	c=1 d=0.172078 t=1196
san si 	三四	c=0 d=0.1 t=2258
san si yue fen 	三四月份	c=1 d=1 t=2259
san wan 	三萬	c=2 d=1.15724 t=1672
san zhou 	三週	c=1 d=1 t=2379
sen lin 	森林	c=0 d=0.1 t=1952
sen lin da huo 	森林大火	c=1 d=1 t=1953
sha 	啥	c=1 d=1.00022 t=1994
sha dou 	啥都	c=1 d=1 t=2195
sha gong zuo 	啥工作	c=1 d=1 t=769
shan dong da xue 	山東大學	c=1 d=1 t=1646
shang ci 	上次	c=1 d=1 t=313
shang hai 	上海	c=2 d=1.00184 t=2339
shang qiu 	商丘	c=2 d=1.9802 t=920
shang wei 	尚未	c=0 d=0.1 t=2079
shang wei kai zhang 	尚未開張	c=1 d=1 t=2080
shang xia 	上下	c=1 d=1 t=180
shang xia ban 	上下班	c=1 d=1 t=752
shang zhou 	上週	c=1 d=1 t=1824
shao yu 	少育	c=1 d=1 t=91
she ben zhu mo 	捨本逐末	c=1 d=1 t=2194
she hui 	社會	c=3 d=2.82202 t=273
she hui di wei 	社會地位	c=1 d=1 t=100
she hui huan jing 	社會環境	c=0 d=0.1 t=75
she hui huan jing xia 	社會環境下	c=1 d=1 t=76
she hui jing ji 	社會經濟	c=1 d=1 t=43
shen cai 	身材	c=1 d=1 t=1369
shen cha 	審查	c=1 d=1 t=2344
shen he 	審覈	c=1 d=1 t=1147
shen me 	什麼	c=4 d=1.71771 t=1847
shen me yang 	什麼樣	c=1 d=1 t=490
shen qing 	申請	c=1 d=1 t=1191
shen shi 	審視	c=1 d=1 t=325
shen zhen 	深圳	c=0 d=0.1 t=2096
sheng 	剩	c=0 d=0.1 t=2195
sheng 	昇	c=1 d=1 t=1770
sheng bu xia 	剩不下	c=1 d=1 t=2196
sheng cun 	生存	c=2 d=1.0857 t=2156
sheng huo 	生活	c=1 d=1 t=1666
sheng li 	省裏	c=1 d=1 t=1203
sheng pi 	生僻	c=0 d=0.1 t=31
sheng pi zi 	生僻字	c=1 d=1 t=32
sheng yu 	生育	c=4 d=2.63873 t=302
sheng yu lv 	生育率	c=1 d=1 t=50
sheng yuan 	生源	c=1 d=1 t=1133
shi 	十	c=0 d=0.1 t=2035
shi 	室	c=1 d=1 t=2224
shi 	是	c=28 d=3.44212 t=2338
shi 	時	c=5 d=0.952223 t=2143
shi bu shi 	是不是	c=3 d=1.2721 t=2360
shi chang 	市場	c=1 d=1 t=1624
shi de 	使得	c=1 d=1 t=2141
shi fan 	師範	c=1 d=1 t=1126
shi fou 	是否	c=6 d=2.01346 t=2110
shi he 	適合	c=1 d=1 t=2251
shi hou 	時候	c=3 d=1.88958 t=1804
shi ji 	實際	c=1 d=1 t=808
shi ji 	時機	c=1 d=1 t=941
shi jian 	時間	c=4 d=1.13069 t=1811
shi ou yuan 	十歐元	c=1 d=1 t=2036
shi pin 	視頻	c=1 d=1 t=2334
shi qing 	事情	c=1 d=1.08146 t=2237
shi qu 	市區	c=1 d=1 t=900
shi xiang 	是想	c=1 d=1 t=867
shi xiong 	師兄	c=1 d=1 t=976
shi yan 	實驗	c=0 d=0.1 t=984
shi yan fang xiang 	實驗方向	c=1 d=1 t=985
shi yan shi 	實驗室	c=3 d=1.49579 t=2085
shi ye fa zhan 	事業發展	c=1 d=1 t=104
shou fu 	首付	c=2 d=1.94649 t=1115
shou ji 	手機	c=3 d=2.0607 t=533
shou jiao yu 	受教育	c=1 d=1 t=253
shou xian yu 	受限於	c=1 d=1 t=437
shou xie 	手寫	c=1 d=1 t=599
shu 	數	c=1 d=1 t=1138
shu 	書	c=1 d=1 t=540
shu ji 	書記	c=1 d=1 t=1036
shu liang 	數量	c=1 d=1 t=223
shu yu 	屬於	c=2 d=1.00291 t=1241
shua xuan 	刷選	c=1 d=1 t=993
shuang huang lian 	雙黃連	c=2 d=1.99501 t=1936
shui 	水	c=1 d=1 t=1474
shui qian 	稅前	c=1 d=1 t=862
shun feng che 	順風車	c=1 d=1 t=2039
shun li 	順利	c=4 d=1.00067 t=2332
shuo 	說	c=2 d=1.01897 t=1613
shuo shi 	碩士	c=1 d=1 t=1594
si chuan 	四川	c=2 d=1.98511 t=1057
si ci 	四次	c=1 d=1 t=1407
si kao 	思考	c=1 d=1 t=519
si lu 	思路	c=1 d=1 t=1542
si wang lv 	死亡率	c=2 d=1.63445 t=172
si xia 	私下	c=1 d=1 t=1011
si yu an le 	死於安樂	c=1 d=1 t=2248
su da 	蘇大	c=1 d=1 t=1263
su zhou 	蘇州	c=4 d=2.52636 t=1261
suan 	算	c=1 d=1 t=1497
sui 	歲	c=1 d=1 t=1864
sui ran 	雖然	c=1 d=1 t=2167
suo 	所	c=1 d=1 t=232
suo yi 	所以	c=3 d=1.30482 t=1768
suo zai 	所在	c=1 d=1 t=969
ta 	他	c=6 d=2.88119 t=2375
ta 	她	c=2 d=1.96561 t=662
ta 	它	c=1 d=1 t=409
ta bu 	他不	c=0 d=0.1 t=522
ta bu ai wo 	他不愛我	c=1 d=1 t=523
ta jia 	他家	c=1 d=1 t=2401
ta li ban 	塔利班	c=1 d=1 t=1950
ta men 	他們	c=1 d=1 t=1914
ta xian zai 	他現在	c=1 d=1 t=1466
tai 	太	c=1 d=1 t=1008
tai 	態	c=3 d=1.7399 t=1933
tai gao 	太高	c=0 d=0.1 t=1664
tai ruo 	太弱	c=1 d=1 t=2245
tan suo 	探索	c=1 d=1 t=134
tao hao 	討好	c=1 d=1 t=2206
tao lun 	討論	c=3 d=0.697826 t=889
tao lun xia 	討論下	c=1 d=1 t=890
te bie 	特別	c=1 d=1 t=1510
ti 	體	c=0 d=0.181771 t=1910
ti dai 	替代	c=2 d=1.88692 t=260
ti gao 	提高	c=3 d=2.39343 t=249
ti ming 	提名	c=2 d=1.97531 t=1442
tian da 	天大	c=1 d=1 t=1062
tian jia 	添加	c=1 d=1 t=607
tian jin 	天津	c=3 d=1.55192 t=1313
tiao jian 	條件	c=2 d=1.21119 t=479
tiao jian xia 	條件下	c=1 d=1 t=385
tiao kuan 	條款	c=1 d=1 t=412
ting hao 	挺好	c=3 d=1.00555 t=1928
ting ni 	聽你	c=1 d=1 t=638
ting shuo 	聽說	c=2 d=1.93239 t=1802
tong ku 	痛苦	c=1 d=1.06561 t=2143
tong ku shi 	痛苦時	c=1 d=1 t=2144
tong shi 	同事	c=1 d=1 t=1165
tong xun 	通訊	c=4 d=3.9261 t=1399
tong yang 	同樣	c=1 d=1 t=1022
tong yi 	同意	c=3 d=1.0128 t=1436
tong zhi 	通知	c=1 d=1 t=1797
tou 	投	c=1 d=1 t=1037
tou dang 	投檔	c=0 d=0.1 t=1483
tou jian li 	投簡歷	c=1 d=1 t=1015
tou ru 	投入	c=1 d=1 t=290
tou tou 	投投	c=1 d=1 t=1785
tuan dui 	團隊	c=0 d=0.1 t=2283
tuan dui zhong ren 	團隊中人	c=1 d=1 t=2284
tui huo 	退火	c=1 d=1 t=780
tui jian 	推薦	c=3 d=1.18494 t=1427
tuo ren 	託人	c=1 d=1 t=1014
tuo xie 	妥協	c=1 d=1 t=353
wa gong 	瓦工	c=0 d=0.1 t=2067
wai mao 	外貌	c=1 d=1 t=1376
wai zai 	外在	c=1 d=1 t=2131
wan 	晚	c=1 d=1 t=1345
wan 	萬	c=1 d=1 t=1213
wan bao long 	萬寶龍	c=1 d=1 t=1981
wan shang 	晚上	c=1 d=1 t=1344
wang wang 	往往	c=1 d=1 t=149
wang xiao 	王曉	c=0 d=0.1 t=1476
wang xiao guang 	王曉光	c=1 d=1 t=1477
wang zhan 	網站	c=1 d=1 t=557
wei 	爲	c=2 d=1.79453 t=2299
wei bo lu 	微波爐	c=2 d=1.99005 t=1460
wei fa 	違法	c=1 d=1 t=746
wei fu xian lao 	未富先老	c=1 d=1 t=265
wei lai 	未來	c=1 d=1 t=1518
wei ren 	爲人	c=1 d=1 t=977
wei sha 	爲啥	c=2 d=1.01477 t=1579
wei sheng 	衛生	c=1 d=1 t=167
wei xiu 	維修	c=1 d=1 t=589
wei yi 	唯一	c=1 d=1 t=518
wei yue 	違約	c=1 d=1.1 t=1712
wen ding 	穩定	c=2 d=1.96561 t=2096
wen guo 	問過	c=1 d=1 t=1650
wen jian 	文件	c=1 d=1 t=1327
wen ti 	問題	c=1 d=1 t=44
wen wen 	問問	c=3 d=1.83925 t=1696
wen xian 	文獻	c=1 d=1 t=1745
wen yi xia 	問一下	c=1 d=1 t=2356
wen zhang 	文章	c=3 d=2.18763 t=1440
wo 	我	c=18 d=3.03569 t=2398
wo dan xin 	我擔心	c=1 d=1 t=2119
wo ji de 	我記得	c=1 d=1 t=1759
wo jin tian 	我今天	c=1 d=1 t=2013
wo kan 	我看	c=2 d=1.00417 t=1913
wo men 	我們	c=10 d=1.95559 t=1690
wo ming tian 	我明天	c=1 d=1 t=2005
wo xia 	我下	c=1 d=1 t=1798
wo xian zai 	我現在	c=1 d=1 t=1543
wu 	五	c=1 d=1.02276 t=1417
wu 	無	c=2 d=1.99005 t=1488
wu da 	武大	c=2 d=1.20805 t=1293
wu fa 	無法	c=1 d=1 t=413
wu han 	武漢	c=6 d=2.85455 t=1315
wu li 	物理	c=5 d=2.19746 t=1601
wu li xue jia 	物理學家	c=1 d=1 t=1330
wu li xue yuan 	物理學院	c=1 d=1 t=1265
wu ying 	吳影	c=1 d=1 t=1472
wu zhi 	無知	c=2 d=1.97917 t=512
wu zhi zhi mu 	無知之幕	c=1 d=1 t=380
xi 	系	c=2 d=1.53794 t=2349
xi huan 	喜歡	c=2 d=1.9802 t=1363
xi jiang 	細講	c=1 d=1 t=639
xi tong 	系統	c=1 d=1 t=1889
xi wang 	希望	c=3 d=2.24406 t=695
xia 	下	c=0 d=0.191291 t=889
xia jiang 	下降	c=2 d=1.41895 t=225
xia jie 	下節	c=0 d=0.1 t=504
xia jie ke 	下節課	c=1 d=1 t=505
xian 	先	c=5 d=0.206729 t=2221
xian dai 	現代	c=1 d=0.766977 t=146
xian dai hua 	現代化	c=1 d=1.01393 t=128
xian fa 	先發	c=1 d=1.08825 t=152
xian fa guo jia 	先發國家	c=1 d=1 t=128
xian lian xi 	先聯繫	c=1 d=1 t=2222
xian lu 	線路	c=1 d=1 t=789
xian shi 	現實	c=1 d=1 t=2163
xian zai 	現在	c=8 d=1.53677 t=2383
xian zai kan 	現在看	c=1 d=1 t=878
xiang 	向	c=1 d=1 t=1031
xiang 	想	c=5 d=2.14334 t=1669
xiang chu 	相處	c=1 d=1 t=1168
xiang dui 	相對	c=4 d=0.590121 t=2245
xiang dui an yi 	相對安逸	c=1 d=1 t=2246
xiang fa 	想法	c=1 d=1 t=2295
xiang gang 	香港	c=1 d=1 t=2343
xiang guan 	相關	c=1 d=1 t=773
xiang hu 	相互	c=1 d=1 t=947
xiang jin 	詳盡	c=0 d=0.1 t=1748
xiang ni 	像你	c=1 d=1 t=1612
xiang qi 	想起	c=1 d=1 t=682
xiang rang ni 	想讓你	c=1 d=1 t=2022
xiang tong 	相同	c=1 d=1 t=1174
xiang wai 	向外	c=1 d=1 t=2208
xiang ying 	相應	c=1 d=1 t=613
xiao chu 	消除	c=1 d=1 t=2173
xiao li 	效力	c=2 d=1.83527 t=398
xiao mi 	小米	c=1 d=1 t=530
xiao ping 	小屏	c=1 d=1 t=2
xiao xi 	消息	c=2 d=1.68386 t=1872
xiao yi 	效益	c=4 d=3.62743 t=469
xiao ying 	效應	c=2 d=1.88692 t=261
xiao yong 	效用	c=1 d=1 t=86
xiao zhang 	校長	c=1 d=1 t=1755
xie 	些	c=5 d=2.14515 t=1831
xie de 	寫得	c=1 d=1 t=15
xie xie 	謝謝	c=4 d=1.10538 t=1800
xin 	新	c=1 d=0.101999 t=2286
xin dan wei 	新單位	c=1 d=1 t=2287
xin guan 	新冠	c=1 d=1 t=17
xin lang 	新浪	c=1 d=1 t=2348
xin sheng dai 	新生代	c=2 d=1.91393 t=196
xin wen 	新聞	c=1 d=1 t=1951
xin xi 	信息	c=1 d=0.104893 t=2173
xin xi ke xue 	信息科學	c=0 d=0.1 t=2077
xin xi que shi 	信息缺失	c=1 d=1 t=2174
xin zeng 	新增	c=1 d=1 t=1968
xing 	姓	c=1 d=1 t=1949
xing 	性	c=1 d=1 t=480
xing wei 	行爲	c=4 d=1.00012 t=2211
xiu gai 	修改	c=1 d=0.407279 t=851
xu 	續	c=1 d=1 t=1822
xu 	許	c=0 d=0.1 t=1826
xu lao shi 	許老師	c=2 d=1.81873 t=1867
xu yao 	需要	c=2 d=1.00317 t=2258
xuan gou 	選購	c=1 d=1 t=1976
xuan ze 	選擇	c=1 d=1 t=2104
xue sheng 	學生	c=3 d=1.0347 t=2359
xue xiao 	學校	c=16 d=1.92248 t=2289
xue xiao de 	學校的	c=1 d=1 t=2094
xue xiao fa zhan hao 	學校發展好	c=1 d=1 t=2278
xue xiao pi zhun 	學校批准	c=1 d=1 t=2265
xue yuan 	學院	c=2 d=0.890636 t=1264
xun meng 	迅猛	c=1 d=1 t=160
xun wen 	詢問	c=1 d=1 t=1005
xun zhao 	尋找	c=1 d=1 t=2181
ya 	呀	c=3 d=1.50967 t=2024
ya li 	壓力	c=6 d=1.05755 t=1123
ya zi 	鴨子	c=1 d=1 t=1319
yan jiu fang xiang 	研究方向	c=1 d=1 t=2108
yao 	要	c=10 d=1.91903 t=2384
yao bu 	要不	c=1 d=1 t=887
yao dian 	要點	c=1 d=1 t=609
yao qiu 	要求	c=1 d=1 t=1575
ye 	也	c=14 d=2.48642 t=2243
ye 	頁	c=1 d=1 t=543
ye bu yi ding 	也不一定	c=1 d=1 t=647
ye duo 	也多	c=1 d=1 t=2103
ye hui 	也會	c=2 d=1.00024 t=1775
ye jiu shi 	也就是	c=1 d=1 t=544
ye ke neng 	也可能	c=1 d=1 t=2268
ye ke yi 	也可以	c=1 d=1 t=1085
ye shi 	也是	c=4 d=1.14254 t=1930
ye xiang 	也想	c=1 d=1 t=1784
ye you 	也有	c=2 d=1.96079 t=2059
yi 	以	c=2 d=1.78663 t=2297
yi 	已	c=0 d=0.1 t=1483
yi ban 	一般	c=5 d=2.54414 t=2255
yi ban xue xiao 	一般學校	c=2 d=1.00099 t=2229
yi bu dao wei 	一步到位	c=2 d=1.7788 t=1658
yi ci 	一次	c=3 d=3.10823 t=2387
yi dian 	一點	c=1 d=1 t=883
yi ding 	一定	c=1 d=1 t=60
yi ding yao 	一定要	c=1 d=1 t=1066
yi duan 	一段	c=2 d=1.00315 t=1810
yi fang mian 	一方面	c=1 d=1 t=1618
yi ge 	一個	c=7 d=1.65171 t=1541
yi ge ren 	一個人	c=1 d=1 t=267
yi ge yue 	一個月	c=1 d=1 t=1204
yi han 	遺憾	c=1 d=1 t=1980
yi ji 	一級	c=0 d=0.1 t=1576
yi ji 	以及	c=2 d=1.03337 t=936
yi ji bo shi dian 	一級博士點	c=3 d=2.91678 t=1586
yi jia 	議價	c=0 d=0.1 t=354
yi jia neng li 	議價能力	c=2 d=1.52729 t=483
yi jing 	已經	c=3 d=1.30164 t=1752
yi jing xiu gai 	已經修改	c=1 d=1 t=852
yi kao 	依靠	c=3 d=2.85698 t=2146
yi lai 	依賴	c=2 d=1.9802 t=2209
yi lai yu 	依賴於	c=1 d=1 t=788
yi lan zhong shan xiao 	一覽衆山小	c=1 d=1 t=1852
yi miao 	疫苗	c=1 d=1 t=552
yi nian hou 	一年後	c=1 d=1 t=1189
yi qi 	一起	c=2 d=1.19014 t=676
yi qian 	一千	c=1 d=1 t=1969
yi qie 	一切	c=2 d=1.00021 t=2330
yi tou dang 	已投檔	c=1 d=1 t=1484
yi wai 	以外	c=1 d=1 t=1502
yi wan 	一萬	c=2 d=1.94649 t=1309
yi wei 	意味	c=2 d=2.03651 t=463
yi wei zhe 	意味着	c=1 d=1 t=435
yi wu 	義務	c=1 d=1 t=406
yi xia 	一下	c=1 d=1 t=714
yi xia 	以下	c=1 d=1 t=1674
